"APG task results:"

"Job Name","Job Owner","Device Name","Policy Name","Rule Number","Revision"
"ISFW APG","admin","TCH01-Mgmt","ISFW_Policy","1","32"

"Start Date","End Date","Number of Generated Rules","Original Permissiveness","Generated Rulebase Permissiveness"
"2020-03-24 15:17:45","2020-03-31 15:17:45","105","100","71"

Generated Rulebase:
"Name","Source","Destination","Port","Protocol","Hits","Permissiveness"
"Rule 1.119647","10.124.0.0/16","10.0.0.0/8","","Any","6975825","71"
"Rule 1.52154","10.0.0.0/8","10.110.0.0/16","","Any","6294053","71"
"Rule 1.84973","10.110.0.0/16","10.0.0.0/8","","Any","3354662","71"
"Rule 1.157746","10.0.0.0/8","Any","80","TCP","3160486","70"
"Rule 1.3","10.125.0.0/16","10.0.0.0/8","","Any","1796502","71"
"Rule 1.107063","10.152.0.0/16","10.0.0.0/8","","Any","1450577","71"
"Rule 1.123095","10.0.0.0/8","Any","443","TCP","1427382","70"
"Rule 1.97961","10.116.0.0/16","10.0.0.0/8","","Any","1260785","71"
"Rule 1.94209","10.148.0.0/16","10.0.0.0/8","","Any","1148465","71"
"Rule 1.195007","10.185.100.0/24","Any","","Any","1067007","71"
"Rule 1.113163","10.184.0.0/16","10.0.0.0/8","","Any","808086","71"
"Rule 1.111328","10.169.0.0/16","10.0.0.0/8","","Any","705051","71"
"Rule 1.109421","10.2.70.0/24","10.0.0.0/8","","Any","578385","61"
"Rule 1.196004","62.145.0.0/24","10.0.0.0/8","","Any","551902","61"
"Rule 1.121116","10.0.0.0/8","10.116.0.0/16","","Any","509822","71"
"Rule 1.117038","10.0.0.0/8","10.0.0.0/8","53","UDP","411895","60"
"Rule 1.104742","10.185.0.0/16","10.0.0.0/8","","Any","364631","71"
"Rule 1.114661","10.133.0.0/16","10.0.0.0/8","","Any","351839","71"
"Rule 1.122309","10.0.0.0/8","10.130.0.0/16","","Any","337446","71"
"Rule 1.120431","10.130.0.0/16","10.0.0.0/8","","Any","331120","71"
"Rule 1.122027","10.0.0.0/8","10.133.0.0/16","","Any","214192","71"
"Rule 1.118802","10.177.0.0/16","10.0.0.0/8","","Any","124243","71"
"Rule 1.121750","10.0.0.0/8","10.152.0.0/16","","Any","91811","71"
"Rule 1.101756","10.0.0.0/8","10.0.0.0/8","445","TCP","87016","60"
"Rule 1.122688","10.0.0.0/8","10.148.0.0/16","","Any","82614","71"
"Rule 1.122997","10.0.0.0/8","10.185.0.0/16","","Any","61569","71"
"Rule 1.121440","10.0.0.0/8","10.169.0.0/16","","Any","57233","71"
"Rule 1.194418","10.2.70.0/24","Any","","Any","52701","71"
"Rule 1.122544","10.0.0.0/8","10.184.0.0/16","","Any","42392","71"
"Rule 1.117925","10.209.0.0/16","10.0.0.0/8","","Any","41269","71"
"Rule 1.122929","10.0.0.0/8","10.177.0.0/16","","Any","39794","71"
"Rule 1.175493","10.0.0.0/8","194.115.0.0/16","","Any","29909","71"
"Rule 1.186772","10.0.0.0/8","Any","123","UDP","23628","70"
"Rule 1.122831","10.0.0.0/8","10.209.0.0/16","","Any","20946","71"
"Rule 1.192279","10.0.0.0/8","192.168.0.0/16","","Any","18009","71"
"Rule 1.115988","10.136.0.0/16","10.0.0.0/8","","Any","16108","71"
"Rule 1.196002","10.120.1.14/32","224.0.0.1/32","","IPP[2]","12887","1"
"Rule 1.196740","192.168.196.0/24","224.120.1.1/32","","IPP[2]","8490","11"
"Rule 1.196416","194.115.0.0/16","10.0.0.0/8","","Any","7225","71"
"Rule 1.123053","10.0.0.0/8","10.2.70.0/24","","Any","2488","61"
"Rule 1.195180","10.185.231.0/24","Any","","Any","293","71"
"Rule 1.186639","10.169.0.0/16","194.0.0.0/8","","Any","292","71"
"Rule 1.194910","10.152.9.0/24","Any","","Any","282","71"
"Rule 1.194768","10.152.3.29/32","Any","","Any","137","61"
"Rule 1.195462","10.116.255.0/24","62.145.0.0/24","162","UDP","110","21"
"Rule 1.195800","10.130.0.0/16","Any","3478","UDP","107","60"
"Rule 1.195284","10.148.100.0/24","Any","","Any","102","71"
"Rule 1.195119","10.185.101.0/24","Any","","Any","99","71"
"Rule 1.195216","10.148.10.29/32","Any","","Any","81","61"
"Rule 1.195708","10.184.10.0/24","Any","","Any","66","71"
"Rule 1.196656","213.148.133.16/32","10.0.0.0/8","23","TCP","65","31"
"Rule 1.195835","10.130.0.0/16","62.145.0.0/24","162","UDP","58","31"
"Rule 1.195979","10.133.255.0/24","62.145.0.0/24","162","UDP","56","21"
"Rule 1.186761","10.0.0.0/8","194.0.0.0/8","123","UDP","54","60"
"Rule 1.195595","10.169.10.0/24","Any","","Any","48","71"
"Rule 1.194992","10.152.255.0/24","62.145.0.0/24","162","UDP","38","21"
"Rule 1.195870","10.209.0.0/16","172.0.0.0/8","","Any","34","71"
"Rule 1.195352","10.148.101.0/24","Any","","Any","33","71"
"Rule 1.195423","10.116.100.0/24","Any","","Any","30","71"
"Rule 1.195648","10.169.100.0/24","Any","","Any","28","71"
"Rule 1.195699","10.169.255.0/24","62.145.0.0/24","162","UDP","26","21"
"Rule 1.195957","10.133.141.0/24","Any","","Any","23","71"
"Rule 1.195933","10.133.131.0/24","Any","","Any","20","71"
"Rule 1.195414","10.148.255.0/24","62.145.0.0/24","162","UDP","20","21"
"Rule 1.195208","10.185.255.0/24","62.145.0.0/24","162","UDP","20","21"
"Rule 1.195774","10.184.0.0/16","62.0.0.0/8","","Any","18","71"
"Rule 1.195674","10.169.200.0/24","Any","","Any","16","71"
"Rule 1.195508","10.116.212.0/24","Any","","Any","16","71"
"Rule 1.195483","10.116.121.0/24","Any","","Any","16","71"
"Rule 1.195587","10.116.0.0/16","216.115.208.230/32","8200","TCP","14","21"
"Rule 1.195397","10.148.231.0/24","Any","","Any","14","71"
"Rule 1.195530","10.116.0.0/16","Any","3478","UDP","14","60"
"Rule 1.194407","10.0.0.0/8","192.0.0.0/8","53","UDP","12","60"
"Rule 1.195929","10.209.255.1/32","62.145.0.0/24","162","UDP","10","11"
"Rule 1.195999","10.177.255.1/32","62.145.0.0/24","162","UDP","10","11"
"Rule 1.195850","10.130.12.0/24","Any","","Any","8","71"
"Rule 1.195567","10.116.0.0/16","172.20.10.4/32","","Any","7","42"
"Rule 1.195865","10.130.0.0/16","39.98.114.139/32","3666","UDP","7","21"
"Rule 1.195911","10.209.100.0/24","Any","","Any","7","71"
"Rule 1.195557","10.116.101.0/24","Any","","Any","6","71"
"Rule 1.195547","10.116.62.12/32","Any","","Any","6","61"
"Rule 1.196733","192.168.0.0/16","Any","53","UDP","5","60"
"Rule 1.195858","10.130.0.0/16","Any","8","ICMP","5","60"
"Rule 1.195988","10.133.10.13/32","Any","53","UDP","4","41"
"Rule 1.195574","10.116.63.11/32","Any","","Any","4","61"
"Rule 1.195581","10.116.120.0/24","Any","","Any","4","71"
"Rule 1.195005","10.152.10.14/32","162.52.241.61/32","135","TCP","4","1"
"Rule 1.195789","10.184.101.0/24","Any","","Any","3","71"
"Rule 1.195868","10.130.30.103/32","66.102.1.127/32","19302","UDP","3","1"
"Rule 1.195921","10.209.10.29/32","Any","","Any","3","61"
"Rule 1.196726","192.168.0.0/16","10.0.0.0/8","","Any","3","71"
"Rule 1.195926","10.209.200.0/24","100.0.0.0/8","","Any","2","61"
"Rule 1.195994","10.133.51.23/32","40.84.185.67/32","9354","TCP","2","1"
"Rule 1.195996","10.177.200.20/32","172.20.10.2/32","","Any","2","22"
"Rule 1.195794","10.184.19.103/32","51.0.0.0/8","8","ICMP","2","31"
"Rule 1.195001","10.152.231.121/32","79.170.0.0/16","53","UDP","2","21"
"Rule 1.195004","10.152.8.51/32","80.110.68.214/32","30804","UDP","1","1"
"Rule 1.195798","10.184.231.14/32","74.125.133.188/32","5228","TCP","1","1"
"Rule 1.196743","172.21.96.9/32","79.170.208.50/32","53","UDP","1","1"
"Rule 1.195706","10.169.231.16/32","109.205.75.156/32","53","UDP","1","1"
"Rule 1.195797","10.184.100.48/32","31.0.40.245/32","21314","UDP","1","1"
"Rule 1.195421","10.148.200.141/32","178.83.51.201/32","50024","UDP","1","1"
"Rule 1.196731","172.20.10.3/32","10.110.106.65/32","8883","TCP","1","1"
"Rule 1.195593","10.116.235.23/32","95.81.30.50/32","50022","UDP","1","1"
"Rule 1.195592","10.116.20.12/32","45.54.52.42/32","53","UDP","1","1"
